"ID","OBJ","DIAGNOSTIC","POSITION","FACE","ORIENTATION","FEATURE","FEATURE_DETAIL","NOTES","MERGE","N"
109,"PIK 87/1-10:7 -11:1 /I-11:4 /I-12:2",NA,"wall","break","diagonal","lamination","lamination","looks somewhat like N-type coiling even! (to be checked)","wall break diagonal lamination",1
11,"PIK 87/1-4:20",NA,"wall","inside","horizontal","scraping","scraping",NA,"wall inside horizontal scraping",1
11,"PIK 87/1-4:20","d","wall","break","vertical","lamination","lamination",NA,"wall break vertical lamination",1
11,"PIK 87/1-4:20","d","wall","outside","horizontal","fissure/crack/break","fissures/cracks",NA,"wall outside horizontal fissure/crack/break",1
320,"PIK 87/1-7:1 -8:4",NA,"rim/wall","inside","horizontal","polishing facets","polishing facets",NA,"rim/wall inside horizontal polishing facets",1
320,"PIK 87/1-7:1 -8:4",NA,"wall","inside","horizontal + helic","fissure/crack/break","fissures/cracks","fissures/cracks (inside + horizontal) + break(s) (helic)","wall inside horizontal + helic fissure/crack/break",1
112,"PIK 87/1-8:1 /I-9:1",NA,"wall","inside","helic","fissure/crack/break","fissures/cracks","fissures/cracks + break(s)","wall inside helic fissure/crack/break",1
112,"PIK 87/1-8:1 /I-9:1",NA,"wall/base","break","horizontal","joint","joint","joint between upper part & base","wall/base break horizontal joint",1
112,"PIK 87/1-8:1 /I-9:1",NA,"wall","inside","horizontal","polishing facets","polishing facets",NA,"wall inside horizontal polishing facets",1
112,"PIK 87/1-8:1 /I-9:1",NA,"base","outside","x","paddel marks","paddel marks",NA,"base outside x paddel marks",1
112,"PIK 87/1-8:1 /I-9:1",NA,"wall","break","vertical","lamination","lamination",NA,"wall break vertical lamination",1
222,"PIK 87/2-4:73",NA,"wall",NA,"horizontal + helic","fissure/crack/break","break(s)",NA,"wall  horizontal + helic fissure/crack/break",1
222,"PIK 87/2-4:73",NA,"wall/base","break","horizontal","joint","joint",NA,"wall/base break horizontal joint",1
